trial_number,value,datetime_start,datetime_complete,duration,state,params
50,327.772003257329,2024-01-08 22:17:49.971594,2024-01-08 22:18:39.541857,0:00:49.570263,1,"{'scalers': 'minmax', 'n_neighbors': 8, 'weights': 'uniform', 'algorithm': 'kd_tree', 'leaf_size': 30}"
51,305.04792702451704,2024-01-08 22:18:39.573480,2024-01-08 22:19:26.481468,0:00:46.907988,1,"{'scalers': 'standard', 'n_neighbors': 10, 'weights': 'distance', 'algorithm': 'auto', 'leaf_size': 38}"
52,304.86077491434804,2024-01-08 22:19:26.516217,2024-01-08 22:20:10.875265,0:00:44.359048,1,"{'scalers': 'standard', 'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'auto', 'leaf_size': 40}"
53,304.86077491434804,2024-01-08 22:20:10.897104,2024-01-08 22:20:58.980995,0:00:48.083891,1,"{'scalers': 'standard', 'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 38}"
54,305.8450273695438,2024-01-08 22:20:59.012356,2024-01-08 22:21:43.767372,0:00:44.755016,1,"{'scalers': 'standard', 'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'auto', 'leaf_size': 41}"
55,305.13503318789765,2024-01-08 22:21:43.800616,2024-01-08 22:22:29.214817,0:00:45.414201,1,"{'scalers': 'standard', 'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 36}"
56,307.5812822535886,2024-01-08 22:22:29.239978,2024-01-08 22:23:17.653179,0:00:48.413201,1,"{'scalers': 'standard', 'n_neighbors': 6, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 32}"
57,305.43352204335974,2024-01-08 22:23:17.681782,2024-01-08 22:24:01.881136,0:00:44.199354,1,"{'scalers': 'standard', 'n_neighbors': 14, 'weights': 'distance', 'algorithm': 'auto', 'leaf_size': 48}"
58,304.86077491434804,2024-01-08 22:24:01.913861,2024-01-08 22:24:48.333299,0:00:46.419438,1,"{'scalers': 'standard', 'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 42}"
59,310.28652400219676,2024-01-08 22:24:48.365360,2024-01-08 22:25:32.297180,0:00:43.931820,1,"{'scalers': 'robust', 'n_neighbors': 12, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 39}"
60,308.17154645220324,2024-01-08 22:25:32.322088,2024-01-08 22:26:20.798038,0:00:48.475950,1,"{'scalers': 'standard', 'n_neighbors': 8, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 45}"
61,305.04792702451704,2024-01-08 22:26:20.829183,2024-01-08 22:27:06.851276,0:00:46.022093,1,"{'scalers': 'standard', 'n_neighbors': 10, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 39}"
62,304.86077491434804,2024-01-08 22:27:06.883095,2024-01-08 22:27:52.399115,0:00:45.516020,1,"{'scalers': 'standard', 'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 37}"
63,305.1750184624344,2024-01-08 22:27:52.424456,2024-01-08 22:28:37.064463,0:00:44.640007,1,"{'scalers': 'standard', 'n_neighbors': 12, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 35}"
64,305.8450273695438,2024-01-08 22:28:37.086402,2024-01-08 22:29:22.599796,0:00:45.513394,1,"{'scalers': 'standard', 'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 38}"
65,305.13503318789765,2024-01-08 22:29:22.622234,2024-01-08 22:30:08.936465,0:00:46.314231,1,"{'scalers': 'standard', 'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 43}"
66,328.3430921564886,2024-01-08 22:30:08.952388,2024-01-08 22:30:51.683736,0:00:42.731348,1,"{'scalers': 'minmax', 'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'auto', 'leaf_size': 33}"
67,306.89382450511147,2024-01-08 22:30:51.700128,2024-01-08 22:31:39.089662,0:00:47.389534,1,"{'scalers': 'standard', 'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 41}"
68,305.8450273695438,2024-01-08 22:31:39.108528,2024-01-08 22:32:29.125430,0:00:50.016902,1,"{'scalers': 'standard', 'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 28}"
69,305.5726364623433,2024-01-08 22:32:29.148084,2024-01-08 22:33:18.894353,0:00:49.746269,1,"{'scalers': 'standard', 'n_neighbors': 11, 'weights': 'uniform', 'algorithm': 'kd_tree', 'leaf_size': 40}"
